State,Year,Cancer_Type,Age_Group,Gender,Population,People_Screened,Smoking_Percent,Pollution_Index,New_Cases,Deaths,Recovered,Incidence_per_100k,Mortality_per_100k,Avg_Treatment_Cost_INR,Available_Hospital_Beds
Jharkhand,2012,Ovarian,75+,Male,2812161,93209,27.05,195,52,16,18,1.849,0.569,317330,1098
Punjab,2011,Liver,45-59,Female,1170474,68423,6.33,164.7,17,,7,1.452,,434123,735
Karnataka,2018,Breast,0-14,Male,6477563,57079,6.81,250.7,109,28,,,0.432,172407,814
Bihar,2017,Prostate,0-14,Male,5193813,107052,10.54,224.7,81,43,26,1.56,0.828,262145,3895
Odisha,2021,Cervical,0-14,Male,7293012,27593,27.98,251.3,126,69,49,1.728,0.946,187885,1416
Kerala,2015,Breast,60-74,Female,5800708,71838,43.76,125.2,97,,31,1.672,0.431,301456,1568
Bihar,2021,Cervical,60-74,Female,631222,101025,42.46,30.7,12,6,6,1.901,0.951,132561,3504
Telangana,2022,Liver,75+,Male,6176803,4090,25.06,60.4,97,30,34,1.57,0.486,431623,1762
Himachal Pradesh,2017,Stomach,0-14,Female,2200290,110642,27.32,170.4,41,8,18,1.863,0.364,395470,700
West Bengal,2022,Ovarian,30-44,Male,2878668,172990,24.23,238.2,68,34,34,2.362,1.181,445225,4724
Karnataka,2019,Breast,30-44,Male,3353354,131839,10.86,218.1,59,16,36,1.759,0.477,,643
Punjab,2019,Liver,75+,Male,6432020,65985,25.07,87.6,98,62,59,1.524,0.964,382740,2595
Karnataka,2013,Ovarian,45-59,Female,5552015,25478,6.66,267.3,85,24,58,1.531,0.432,55548,
Haryana,2014,Ovarian,30-44,Female,6220008,44222,16.18,260.6,114,39,74,1.833,0.627,458539,2751
Chhattisgarh,2015,Oral,0-14,Female,1596264,4708,37.86,102.4,21,8,,1.316,0.501,448534,3514
Gujarat,2021,Prostate,60-74,Female,1777333,139764,32.72,147.9,25,12,15,1.407,0.675,146734,
Chhattisgarh,2020,Stomach,15-29,Male,4292919,,30.06,77.4,91,39,31,2.12,,490554,3004
Bihar,2017,Breast,15-29,Male,5113097,181475,23.11,94,83,18,31,1.623,0.352,231593,4524
Madhya Pradesh,2020,Breast,60-74,Female,2767986,23008,33.49,273.8,54,16,,1.951,0.578,314288,3249
Bihar,2012,Breast,15-29,Male,3078357,39029,28.1,119.3,51,24,17,1.657,,185635,3562
Uttar Pradesh,2018,Ovarian,0-14,Male,7311915,,18.09,101,110,57,39,1.504,0.78,168394,3179
Himachal Pradesh,2021,Ovarian,45-59,Female,2608297,100081,,202.5,35,18,11,1.342,0.69,408771,1308
Uttar Pradesh,2019,Liver,45-59,Male,2778620,61839,22.16,195.1,37,12,11,,0.432,486258,3671
Assam,2016,Colorectal,30-44,Female,4164562,20872,37.71,51.1,67,35,36,1.609,0.84,479483,344
Karnataka,2021,Stomach,45-59,Male,1107599,,36.91,,12,3,4,1.083,0.271,186218,4228
Tamil Nadu,2020,Lung,75+,Male,7007729,140562,18.16,149.7,107,27,73,1.527,0.385,64200,2511
Madhya Pradesh,2016,Breast,45-59,Female,3197781,129304,29.09,202,51,,23,1.595,0.625,181585,2020
Himachal Pradesh,2022,Colorectal,45-59,Female,6875331,161770,22.53,47.3,133,45,63,,,407556,3905
Delhi,2018,Liver,0-14,Male,7552076,36327,7.29,,141,52,83,,0.689,365527,958
Madhya Pradesh,2022,Ovarian,0-14,Female,4028912,118413,31.93,38.3,81,18,26,2.01,0.447,138264,147
Jharkhand,2014,Oral,30-44,Male,4709983,198928,16.33,241.8,94,46,38,1.996,0.977,167775,428
Telangana,2022,Cervical,0-14,Female,4621896,6101,31.49,180.4,72,,44,,0.584,285391,1954
Kerala,2020,Oral,30-44,Female,5941514,1220,42.56,225,97,,67,1.633,0.959,423246,2695
Telangana,2012,Stomach,15-29,Male,4539212,26644,,113.5,75,43,36,1.652,0.947,255156,4733
Andhra Pradesh,2019,Ovarian,15-29,Male,697973,23375,23.54,229.8,6,1,1,0.86,0.143,49526,2180
Kerala,2011,Colorectal,15-29,Female,3457431,14037,38.83,135.4,52,28,,1.504,0.81,39782,1440
Telangana,2014,Cervical,0-14,Male,6314555,153400,34.74,160.2,113,25,,1.79,0.396,63100,1647
Himachal Pradesh,2021,Leukemia,30-44,Male,4454609,54693,,171.3,80,18,44,1.796,0.404,,2064
Tamil Nadu,2013,Cervical,75+,Male,4603313,170413,36.24,140.4,86,37,,1.868,0.804,397316,2632
Himachal Pradesh,2025,Prostate,45-59,Male,2825931,16841,25.39,236.7,45,,,1.592,,238272,1579
Madhya Pradesh,2023,Breast,15-29,Male,1003138,87608,43.59,60,18,10,6,1.794,0.997,71279,2941
Odisha,2010,Stomach,0-14,Female,2953080,54955,14.63,251.4,53,23,20,1.795,0.779,306995,3432
Tamil Nadu,2023,Oral,60-74,Female,7814565,196063,40.08,49.5,133,,,1.702,0.717,254829,2540
Punjab,2019,Ovarian,75+,Female,6105694,122157,14.42,239.6,108,64,61,1.769,1.048,176376,3419
Haryana,2022,Lung,45-59,Male,1293785,169457,24.83,,19,4,9,1.469,0.309,265280,3063
West Bengal,2011,Liver,30-44,Male,4638149,,12.14,30.5,67,13,43,,0.28,312525,1473
Madhya Pradesh,2023,Breast,60-74,Male,2315294,38910,,,39,18,24,1.684,0.777,120321,479
Andhra Pradesh,2025,Breast,45-59,Female,3321810,74829,23.62,,64,28,37,1.927,0.843,,4371
Chhattisgarh,2018,Prostate,60-74,Male,3432057,59536,14.79,40.6,49,29,23,1.428,0.845,319387,2725
Haryana,2012,Cervical,75+,Male,529639,153380,,39.5,2,,0,0.378,0,256186,746
Uttar Pradesh,2015,Leukemia,0-14,Male,654716,79799,34.37,219.9,13,4,8,1.986,0.611,450446,209
Punjab,2018,Lung,45-59,Female,7805594,32483,18.22,216.1,122,45,78,1.563,0.577,348327,
Delhi,2024,Prostate,60-74,Male,3431003,16945,38.45,261.2,45,18,,,0.525,212578,489
Uttar Pradesh,2023,Colorectal,45-59,Male,2543920,181566,38.85,159.3,48,16,15,,0.629,,371
Bihar,2018,Ovarian,30-44,Female,756518,188936,32.05,213.8,17,4,5,2.247,0.529,74687,
Punjab,2011,Cervical,75+,Male,4040669,192072,,53,72,,30,1.782,1.039,233116,241
Tamil Nadu,2021,Stomach,0-14,Male,6734653,50607,26.65,294.3,103,40,,1.529,0.594,406162,181
Assam,2024,Colorectal,30-44,Female,4446035,15348,,102.9,78,27,26,1.754,0.607,349723,
Punjab,2024,Leukemia,45-59,Female,5867975,48208,,20.1,105,,67,1.789,1.04,416218,432
Himachal Pradesh,2014,Oral,15-29,Female,2956548,89151,44.7,230.5,57,21,29,1.928,0.71,483110,2859
Jharkhand,2017,Colorectal,15-29,Female,7578754,,28.67,172.5,122,76,62,1.61,1.003,89886,1867
Bihar,2014,Ovarian,60-74,Female,7582205,70510,30.86,182.8,130,31,90,1.715,0.409,335461,879
Jharkhand,2013,Ovarian,60-74,Male,6099728,9309,26.56,,98,47,57,,0.771,59227,357
Telangana,2025,Leukemia,15-29,Male,3248551,,16.53,53.3,38,,17,1.17,0.708,,
West Bengal,2024,Breast,45-59,Male,2568183,149216,,133.8,42,,18,1.635,0.779,345062,4924
Assam,2011,Oral,0-14,Male,3089528,41192,,253.9,52,26,27,1.683,0.842,441172,2040
Kerala,2022,Oral,15-29,Male,5924703,55478,26.72,279.3,88,23,58,1.485,0.388,372392,2431
Rajasthan,2010,Colorectal,45-59,Male,7578374,167243,29.12,144.9,135,28,,,0.369,335036,3675
Haryana,2013,Stomach,15-29,Female,4898000,7759,30.45,257.6,102,60,53,2.082,1.225,101560,993
Telangana,2025,Stomach,0-14,Female,3142864,98979,41.73,20.1,41,11,13,1.305,0.35,301287,1511
Himachal Pradesh,2020,Ovarian,15-29,Male,4320657,183759,22.89,287,62,37,42,1.435,,252329,671
Delhi,2016,Ovarian,15-29,Male,2304851,5077,6.81,,30,12,13,1.302,0.521,,3114
Punjab,2023,Oral,45-59,Male,7020672,57902,18.54,95.7,128,,61,,0.456,187162,1284
Andhra Pradesh,2014,Colorectal,60-74,Male,3280835,82970,7.39,189,64,15,20,1.951,0.457,309409,4620
Telangana,2018,Breast,0-14,Male,4267147,71636,32.9,269,72,37,43,1.687,0.867,,732
Madhya Pradesh,2013,Cervical,0-14,Female,5267052,77748,11.07,46.4,104,21,48,1.975,0.399,99322,
Gujarat,2021,Breast,75+,Male,3009051,23504,35.22,241.2,46,26,20,1.529,0.864,369986,325
Jharkhand,2011,Ovarian,15-29,Male,724571,127572,24.4,102.1,12,6,8,1.656,0.828,93987,2546
Rajasthan,2014,Breast,15-29,Female,7374882,21724,8.16,106.3,123,52,70,1.668,0.705,56852,1225
Madhya Pradesh,2024,Breast,45-59,Male,6732830,6533,,243.5,114,41,52,1.693,0.609,96084,2081
Maharashtra,2020,Cervical,30-44,Male,4988891,141528,6.43,252.8,99,21,,1.984,0.421,353025,2901
Andhra Pradesh,2025,Cervical,0-14,Female,7130516,35953,40.21,,128,71,72,1.795,0.996,78782,603
Haryana,2016,Ovarian,15-29,Male,3502449,90704,36.21,179.2,56,21,20,1.599,0.6,350742,
Jharkhand,2013,Stomach,15-29,Female,3379990,80891,37.34,125.9,52,31,,1.538,0.917,448351,120
Karnataka,2018,Colorectal,45-59,Male,7400522,193157,11.83,160.2,118,74,65,1.594,1,164814,1345
Gujarat,2018,Liver,45-59,Female,3139542,35395,24.79,239.3,57,25,19,1.816,0.796,131346,4627
Bihar,2012,Stomach,30-44,Female,6853008,188777,32.11,107.5,120,74,51,,1.08,195085,
Madhya Pradesh,2014,Stomach,0-14,Male,561636,169162,27.12,54.8,9,,5,1.602,0.89,78968,4089
Gujarat,2011,Oral,75+,Male,7959125,111444,11.14,23.7,123,57,76,1.545,0.716,168179,3625
Telangana,2012,Oral,75+,Female,3774659,106600,18.84,259.3,68,40,,1.801,1.06,441703,3490
Gujarat,2025,Oral,45-59,Female,7228019,193804,,,150,,62,2.075,0.885,438003,3526
Bihar,2023,Lung,60-74,Male,2935445,196738,13.94,213.7,48,29,29,1.635,0.988,362356,2939
Chhattisgarh,2020,Oral,75+,Male,6335713,91010,18.22,104.1,107,43,52,1.689,0.679,228702,4373
Assam,2015,Leukemia,75+,Male,6090165,62440,10.18,207.1,98,35,62,1.609,0.575,431946,3395
Gujarat,2015,Breast,60-74,Male,6785469,129490,36.3,195.2,121,28,69,,,496557,501
West Bengal,2025,Prostate,75+,Male,7531573,64927,10.22,274.6,119,39,66,1.58,0.518,483464,1401
Chhattisgarh,2016,Liver,75+,Male,1044384,14695,42.24,125.9,15,4,10,1.436,0.383,84153,2643
Rajasthan,2015,Colorectal,30-44,Male,5033639,76917,34.15,125.1,93,25,55,1.848,0.497,75831,4018
Bihar,2022,Lung,0-14,Female,7371514,118971,33.68,201.6,110,69,55,1.492,0.936,76074,
West Bengal,2021,Colorectal,60-74,Female,7395634,92508,42.08,99.6,142,54,82,1.92,0.73,243618,63
Andhra Pradesh,2017,Oral,75+,Male,936169,63486,40.44,40.8,16,9,10,1.709,0.961,311527,2234
Maharashtra,2015,Colorectal,75+,Female,6843000,135550,27.19,255.8,126,40,72,1.841,0.585,301832,3286
Odisha,2022,Colorectal,60-74,Male,1012952,,5.16,263.5,21,11,9,2.073,1.086,274043,4053
Bihar,2016,Leukemia,45-59,Male,6745735,137180,38.64,263.5,120,41,75,1.779,0.608,71279,3557
Uttar Pradesh,2023,Leukemia,0-14,Male,1725907,48100,13.08,,37,15,20,2.144,0.869,27350,990
Chhattisgarh,2015,Leukemia,60-74,Male,6740173,91132,14.95,266.6,100,,61,1.484,0.341,,2594
Karnataka,2018,Prostate,0-14,Male,529233,170544,41.13,61,5,3,3,0.945,0.567,72440,
Madhya Pradesh,2024,Oral,30-44,Female,1720584,68578,44.04,262.5,29,10,10,1.685,0.581,326742,2699
Bihar,2023,Prostate,60-74,Male,4655294,73779,15.87,211.1,66,41,46,1.418,0.881,225390,3357
West Bengal,2017,Prostate,45-59,Female,2768530,196616,36.43,260.2,44,27,30,1.589,,55032,1742
Telangana,2023,Lung,0-14,Female,5202418,179711,19.2,164,82,,36,1.576,,95693,2863
Himachal Pradesh,2017,Cervical,45-59,Male,2838017,167297,33.14,93.6,69,36,27,2.431,1.268,369300,1928
Odisha,2020,Lung,75+,Male,2717299,183742,,175.6,46,20,,1.693,0.736,425477,740
Karnataka,2020,Colorectal,15-29,Male,1874942,194595,16.06,223.4,25,7,15,1.333,0.373,445362,4145
Odisha,2018,Ovarian,30-44,Male,4722985,128175,25.23,276.3,82,39,47,1.736,0.826,483789,2457
Kerala,2023,Ovarian,60-74,Male,529884,99460,25.03,62.9,8,1,4,1.51,0.189,99597,480
Odisha,2024,Liver,30-44,Male,2152492,143949,,238.5,41,,17,1.905,0.604,64084,432
Maharashtra,2014,Leukemia,75+,Female,4456558,68636,16.14,254,75,45,36,1.683,1.01,113366,1289
Telangana,2020,Leukemia,0-14,Male,6889140,117279,5.67,81.4,123,28,39,1.785,0.406,174142,4030
Rajasthan,2024,Leukemia,45-59,Female,892981,40728,44.31,149,11,5,4,1.232,0.56,348334,2219
Maharashtra,2022,Stomach,0-14,Female,3545262,148650,15.27,252.5,54,12,22,1.523,0.338,366095,411
Delhi,2011,Liver,15-29,Female,6014932,24259,15.24,158.1,106,55,61,1.762,0.914,59498,83
Gujarat,2013,Colorectal,75+,Female,5518739,110649,38.98,147.8,87,51,57,,,245067,
Gujarat,2021,Stomach,60-74,Female,727375,109641,41.07,253.8,9,3,6,1.237,0.412,,3283
Karnataka,2016,Cervical,30-44,Male,3878478,94392,22.23,214.2,70,21,48,1.805,0.541,104160,1042
Uttar Pradesh,2022,Leukemia,30-44,Male,4015140,,36.73,248.1,54,28,37,1.345,0.697,392669,675
Himachal Pradesh,2020,Oral,75+,Male,1477891,35234,27.7,213.3,25,13,9,,0.88,,1453
Delhi,2016,Stomach,45-59,Female,4896539,8321,30.84,101,75,46,25,1.532,0.939,94720,
Odisha,2019,Cervical,75+,Male,6739456,126990,30.16,63.8,103,63,53,1.528,0.935,165392,3801
Telangana,2011,Oral,75+,Male,3832166,98657,12.68,240.3,47,21,24,1.226,0.548,432683,1548
Madhya Pradesh,2012,Stomach,30-44,Female,4642469,77322,40.09,38.4,86,38,52,1.852,0.819,496840,3822
Jharkhand,2017,Stomach,60-74,Male,3550778,140028,16.52,235.7,44,16,19,1.239,0.451,175938,3962
Kerala,2019,Cervical,60-74,Female,2954146,111286,16.77,227.6,51,32,25,1.726,1.083,454098,364
Jharkhand,2010,Stomach,0-14,Male,1280554,102242,18.99,79.1,24,11,10,1.874,0.859,28803,1699
Assam,2016,Liver,30-44,Male,7015854,39074,39.77,209,113,66,,1.611,0.941,297674,2534
Bihar,2025,Cervical,30-44,Male,2124774,22585,26.84,138.1,36,18,18,1.694,0.847,351293,214
Delhi,2024,Colorectal,30-44,Female,5255758,,7.84,66.3,96,52,53,1.827,0.989,24229,3035
Haryana,2011,Lung,15-29,Female,6320804,143532,11.92,263.5,98,41,62,1.55,0.649,193508,1147
Uttar Pradesh,2011,Leukemia,15-29,Female,2036866,57120,15.14,42.5,31,,11,1.522,0.54,341233,127
Odisha,2013,Stomach,30-44,Female,6379991,111947,42.3,50.2,97,23,,,,407721,2915
Punjab,2014,Ovarian,45-59,Female,3463586,171609,18.33,,66,,,1.906,0.491,390480,
West Bengal,2017,Breast,30-44,Female,6466182,147552,27.02,119.1,99,60,,1.531,,252601,3895
Odisha,2022,Lung,60-74,Male,1947610,176815,,,29,8,17,1.489,,25174,626
Assam,2016,Ovarian,15-29,Male,4811930,12624,21.83,191.5,82,27,,1.704,0.561,389654,
Punjab,2010,Ovarian,0-14,Male,6814257,114892,31.09,,104,37,,1.526,0.543,92647,2292
Chhattisgarh,2018,Prostate,45-59,Male,1580801,196447,20.14,264.3,26,16,12,1.645,1.012,334037,4260
Andhra Pradesh,2010,Prostate,0-14,Male,1136240,13165,17.72,95.6,16,8,,1.408,0.704,95206,4419
Delhi,2024,Oral,75+,Female,1492345,,32.88,222.3,32,10,17,2.144,0.67,159886,4625
Assam,2014,Ovarian,0-14,Female,4006689,29876,37.01,156.1,70,32,25,1.747,0.799,144817,3418
West Bengal,2012,Cervical,0-14,Female,6991242,94515,26.26,,118,44,71,1.688,0.629,394073,3432
Gujarat,2022,Oral,30-44,Male,6159832,80087,40.17,111.2,113,63,69,1.834,1.023,313201,4304
Karnataka,2015,Breast,30-44,Female,1450403,60742,,123.7,21,,12,1.448,,434280,4461
Haryana,2024,Prostate,30-44,Male,3128649,117389,30.79,147.9,53,18,27,1.694,0.575,411875,264
Odisha,2016,Stomach,15-29,Female,2111959,77300,32.43,92.2,27,7,12,1.278,0.331,462489,165
Gujarat,2020,Breast,75+,Female,909766,163322,35.24,148.4,18,,10,1.979,0.44,,165
Bihar,2012,Colorectal,30-44,Male,1482856,158221,24.38,48.6,27,14,12,1.821,0.944,,3766
Odisha,2025,Stomach,60-74,Male,575238,171674,13.74,210.9,9,,5,1.565,0.695,292121,4442
Telangana,2013,Liver,30-44,Male,5694224,117657,39.51,123.8,92,45,52,1.616,0.79,322952,4140
Karnataka,2021,Breast,45-59,Female,2405424,64061,15.86,133.9,50,31,31,2.079,1.289,268756,4255
Himachal Pradesh,2011,Ovarian,45-59,Female,2210475,98331,24.17,108,43,23,29,1.945,1.041,132853,4485
Chhattisgarh,2022,Stomach,60-74,Female,684896,157789,,206,10,4,5,1.46,0.584,397158,4686
Kerala,2015,Ovarian,45-59,Female,5173104,158346,8.03,53.4,79,24,30,1.527,0.464,52869,368
Bihar,2018,Cervical,75+,Male,7364554,69024,13.26,217,101,54,41,,0.733,468676,1752
Karnataka,2015,Cervical,45-59,Male,1513329,,31.16,25.6,31,17,16,2.048,1.123,,1753
Andhra Pradesh,2013,Oral,75+,Male,5477580,120616,23.01,114,84,53,30,1.534,0.968,256736,1928
West Bengal,2015,Prostate,75+,Female,6151868,159050,5.68,199.3,104,66,32,1.691,,390514,1313
Karnataka,2011,Stomach,0-14,Female,4548602,172855,14.89,,77,31,33,1.693,0.682,241224,4456
Telangana,2022,Stomach,60-74,Male,5010484,125633,32.24,157.1,78,36,30,1.557,0.718,,573
Haryana,2010,Oral,75+,Male,4169238,19826,26.58,147.2,76,36,43,1.823,0.863,221338,1911
Karnataka,2015,Ovarian,30-44,Female,5664615,69474,11.19,67.6,90,23,46,1.589,0.406,106072,1752
Andhra Pradesh,2019,Prostate,45-59,Female,5153297,24928,31.58,238.4,83,48,48,1.611,,193410,3071
Assam,2018,Prostate,45-59,Female,4413454,169300,17.51,39,84,27,58,1.903,0.612,433173,1929
Himachal Pradesh,2012,Colorectal,30-44,Female,6725529,113403,36.67,34,119,42,74,1.769,0.624,322627,3418
Karnataka,2016,Colorectal,0-14,Male,7163476,57614,14.64,,118,57,48,1.647,0.796,39524,4622
Madhya Pradesh,2010,Prostate,30-44,Female,7060831,87338,44.29,219.2,128,63,41,1.813,0.892,445460,598
Karnataka,2022,Ovarian,15-29,Male,2677661,89378,18.03,160.3,49,11,15,1.83,0.411,,4018
Karnataka,2023,Colorectal,0-14,Male,6656672,162652,35.4,233,108,44,37,1.622,0.661,435295,3423
Assam,2015,Prostate,30-44,Female,2538178,131784,10.87,267.6,45,21,20,1.773,0.827,492434,1009
Rajasthan,2017,Prostate,75+,Male,4976752,120390,31.01,161.1,80,30,51,1.607,,335610,3628
Kerala,2023,Oral,75+,Male,4650268,136297,,,87,44,56,,0.946,436107,1178
Madhya Pradesh,2020,Breast,0-14,Male,7440133,,5.32,71.6,134,,43,1.801,0.806,291035,1651
Haryana,2017,Stomach,30-44,Male,5007044,86489,6.65,138.5,92,39,57,1.837,0.779,97470,1654
Delhi,2021,Ovarian,60-74,Male,2315131,35507,19.3,288.3,40,,18,1.728,0.562,73547,3354
Punjab,2014,Leukemia,30-44,Male,5804469,193081,,116.5,114,50,72,1.964,,386694,3522
Assam,2014,Colorectal,0-14,Male,2885300,14761,25.24,144.7,42,23,,1.456,0.797,152843,3711
Chhattisgarh,2011,Cervical,15-29,Female,1251308,84503,11.42,195.1,23,7,13,1.838,0.559,178315,2681
Delhi,2023,Lung,45-59,Female,2016575,27283,31.98,53.1,40,21,25,1.984,1.041,51846,2227
Himachal Pradesh,2014,Prostate,15-29,Male,3288413,27974,,285.2,58,32,24,1.764,0.973,61792,3760
Telangana,2017,Prostate,0-14,Female,5184458,148646,,32.9,99,28,61,1.91,0.54,327182,2157
Delhi,2019,Colorectal,45-59,Male,4192616,11178,31.77,256,70,26,45,1.67,0.62,313219,1125
Chhattisgarh,2016,Ovarian,15-29,Male,6655573,119288,40.18,272.7,98,,31,1.472,0.406,344408,1595
Punjab,2020,Colorectal,75+,Male,1869136,64791,5.71,260.2,28,12,9,1.498,0.642,,1227
Maharashtra,2015,Leukemia,0-14,Female,7313322,9764,22.33,232,129,44,43,1.764,0.602,250314,2053
Punjab,2021,Ovarian,30-44,Male,6567646,139638,22.53,264.1,102,46,70,,0.7,222618,3045
Kerala,2021,Oral,15-29,Female,957409,10684,28.62,149.5,17,8,11,,0.836,150729,68
Uttar Pradesh,2022,Leukemia,30-44,Male,5832138,142871,12.17,287.3,106,53,33,1.818,0.909,66472,4988
Rajasthan,2017,Oral,60-74,Male,4409425,187951,10.34,170.9,79,,42,,0.612,,4558
Uttar Pradesh,2013,Cervical,0-14,Male,5457023,38055,36.06,270.1,83,28,49,1.521,0.513,469600,3294
Andhra Pradesh,2022,Ovarian,15-29,Female,6732491,107061,36.47,28.7,122,32,44,1.812,0.475,40512,2701
West Bengal,2017,Leukemia,15-29,Male,1521496,33934,12.86,129,19,9,7,,0.592,165350,1091
Karnataka,2022,Lung,45-59,Female,2564338,67479,37.26,,42,,18,1.638,0.468,190728,
Haryana,2015,Cervical,0-14,Female,1527592,185023,33.1,175.9,31,,16,2.029,0.589,421313,4365
Uttar Pradesh,2021,Leukemia,60-74,Female,5160642,173219,20.61,220.7,90,34,48,1.744,0.659,222392,96
Jharkhand,2022,Leukemia,15-29,Male,3783126,87715,31.46,131.8,79,48,28,2.088,1.269,214845,1964
Haryana,2012,Cervical,60-74,Female,5589004,17130,44.34,77.1,96,33,63,,0.59,437253,1596
Assam,2022,Leukemia,30-44,Female,5642740,141095,35.7,41.5,109,69,49,1.932,1.223,29656,1600
Chhattisgarh,2022,Liver,75+,Male,6741443,,30.2,144.3,115,23,76,1.706,0.341,328475,2355
Andhra Pradesh,2010,Oral,60-74,Male,2214956,175694,42.88,243.5,32,,19,1.445,0.722,,2670
Andhra Pradesh,2014,Leukemia,45-59,Female,5534369,195202,13.85,193.4,103,56,52,1.861,1.012,,4259
Delhi,2017,Liver,30-44,Male,1743111,193999,42.96,163,28,6,9,1.606,0.344,260104,4360
Bihar,2020,Cervical,0-14,Male,2484212,169578,24.4,256.3,46,19,,1.852,0.765,135332,4708
Maharashtra,2012,Breast,30-44,Male,7900295,14196,16.04,64.2,128,50,70,1.62,0.633,195731,2819
Chhattisgarh,2013,Ovarian,75+,Male,2823603,148442,29.11,232.9,60,17,,2.125,0.602,137142,387
Delhi,2025,Liver,15-29,Male,6299686,156244,44.49,201.5,113,70,51,1.794,1.111,113554,1086
Haryana,2018,Ovarian,60-74,Male,5133606,31286,34.57,210.5,71,19,28,1.383,0.37,367921,3818
Odisha,2010,Ovarian,15-29,Female,7744531,,,214.4,134,35,85,1.73,,340022,1876
Chhattisgarh,2010,Oral,60-74,Female,3699477,58776,11.02,69,65,30,45,1.757,0.811,74295,2080
Odisha,2023,Oral,45-59,Male,2511459,195379,34.87,239.6,40,,18,1.593,0.438,151033,2027
Andhra Pradesh,2011,Leukemia,0-14,Female,1012027,198686,36.91,141.8,11,5,6,1.087,,72641,2068
Gujarat,2019,Stomach,60-74,Female,5209085,112234,7.85,,89,18,,1.709,0.346,28144,3778
Jharkhand,2012,Leukemia,45-59,Male,5271132,61144,,199.7,78,33,32,1.48,0.626,384204,1955
Uttar Pradesh,2019,Oral,30-44,Female,2268301,72665,12.88,62.7,33,8,15,1.455,0.353,293500,205
Rajasthan,2011,Cervical,60-74,Male,3464996,77637,15.24,101.9,54,,24,1.558,0.577,332501,2192
Assam,2020,Leukemia,45-59,Male,5431176,82007,5.08,222.2,97,,32,,0.534,196124,1350
Chhattisgarh,2023,Cervical,15-29,Female,2604379,70945,29.07,,34,,19,1.305,,181881,4216
Himachal Pradesh,2017,Leukemia,15-29,Male,823652,54018,11.06,84,18,7,10,2.185,0.85,268713,
Maharashtra,2022,Breast,30-44,Female,1575603,112218,6.29,248.8,18,8,,,,388765,1925
Madhya Pradesh,2021,Breast,45-59,Male,2813032,146397,25.83,246.2,37,13,11,1.315,0.462,389747,4444
Gujarat,2023,Liver,75+,Female,1565213,59767,14.03,258.1,23,5,13,1.469,0.319,98990,2540
Jharkhand,2011,Leukemia,45-59,Female,7683563,25637,29.19,257.3,121,35,,1.575,0.456,341670,4605
Uttar Pradesh,2016,Oral,0-14,Male,7427705,191423,,293.5,135,38,90,1.818,0.512,340103,468
Bihar,2018,Stomach,75+,Male,3441769,62108,18.95,234.3,55,,,1.598,0.814,389067,4041
West Bengal,2021,Liver,30-44,Male,511528,177851,15.47,100.9,6,2,1,1.173,0.391,85317,3459
Andhra Pradesh,2016,Breast,0-14,Female,3529733,95770,41.18,122.6,49,16,17,1.388,0.453,79360,1453
Gujarat,2013,Breast,60-74,Female,5802785,190853,,195.6,87,55,36,1.499,0.948,105615,234
Punjab,2011,Leukemia,60-74,Female,4352836,80750,38.09,161,71,44,47,1.631,,67250,3138
Assam,2023,Prostate,45-59,Female,691360,155325,19.34,294.4,16,4,5,2.314,0.579,93435,545
Rajasthan,2010,Breast,15-29,Male,1217648,75345,9.74,107.6,16,10,9,1.314,0.821,147190,4292
Karnataka,2012,Colorectal,45-59,Male,3393641,151177,9.13,230.4,57,21,,1.68,,415225,3724
Haryana,2023,Colorectal,45-59,Male,3194641,11428,33.23,244,42,14,28,1.315,,292738,3347
Karnataka,2012,Stomach,45-59,Male,4912700,135024,36.39,30.6,92,,,1.873,0.733,423019,2096
Bihar,2011,Leukemia,0-14,Female,2312414,125971,43.05,246.4,35,9,14,1.514,0.389,46601,4049
Rajasthan,2022,Ovarian,60-74,Male,5843312,143564,,70.4,85,51,45,1.455,0.873,289476,2156
Chhattisgarh,2020,Leukemia,30-44,Male,6363200,24001,31.81,190.4,107,66,63,1.682,,95912,2800
Himachal Pradesh,2023,Liver,75+,Female,7014704,159996,41.57,268,137,41,45,1.953,0.584,,4766
Haryana,2015,Stomach,0-14,Female,6083038,170259,20.22,182.5,98,,42,1.611,0.658,453596,
Maharashtra,2014,Liver,75+,Female,4780962,95050,31.53,97.1,67,27,46,1.401,0.565,,874
Kerala,2023,Colorectal,75+,Female,4221081,139334,12.53,93,74,23,23,1.753,0.545,405878,1965
Bihar,2021,Stomach,45-59,Male,681570,183040,,40.9,12,7,5,1.761,1.027,199175,2148
Punjab,2010,Leukemia,30-44,Female,4095182,13392,28.46,279.5,62,35,25,1.514,0.855,286406,1509
Uttar Pradesh,2016,Colorectal,45-59,Male,7897606,11439,34.06,202.6,135,73,49,1.709,0.924,139470,3445
Maharashtra,2016,Stomach,15-29,Female,4931402,191426,34.67,111,72,,26,1.46,0.548,234442,3487
Jharkhand,2018,Prostate,30-44,Female,6774859,,43.18,114.5,105,31,,1.55,0.458,210745,3748
Rajasthan,2018,Oral,30-44,Female,4155586,126268,15.76,235.6,46,16,29,1.107,0.385,458698,4893
Bihar,2020,Lung,75+,Male,5446312,174593,19.25,21.7,90,51,33,1.652,0.936,413495,1468
Haryana,2013,Oral,15-29,Male,3195645,78196,20.59,254.9,50,14,16,,0.438,122560,3295
